Satellite Name,NORAD ID,Inclination (°),RAAN (°),Eccentricity,Arg. of Perigee (°),Mean Anomaly (°),Mean Motion (revs/day),Epoch
IRIDIUM 26,24903,1.507861499297233,2.0609109606936844,0.0002418,1.5966411623584287,4.6891185054678495,0.0627066915405113,2025-05-30T10:21:02Z
IRIDIUM 22,24907,1.507870225943493,2.122522828618336,0.0002361,1.526936202692279,4.758809502499982,0.06265497760930763,2025-05-30T09:59:13Z
IRIDIUM 7,24793,1.507948765759833,3.2165842155602333,0.0002383,1.7232194210300653,4.562524538832945,0.06265415791542443,2025-05-30T13:07:45Z
IRIDIUM 5,24795,1.5077585248713654,1.6032350162724631,0.0107956,3.496175489754213,2.7816342033292307,0.06519791975510272,2025-05-30T13:31:01Z
IRIDIUM 4,24796,1.5079382937843209,3.1618751248272194,0.0002225,1.6348499103430885,4.650869614910393,0.06269358376876297,2025-05-30T14:40:08Z
DELTA 2 R/B,24797,1.5166213068129926,0.14827968259093424,0.0215546,5.992654309234106,1.3134492739175847,0.06315000063266181,2025-05-30T14:38:04Z
IRIDIUM 7,24793,1.507948765759833,3.2165842155602333,0.0002383,1.7232194210300653,4.562524538832945,0.06265415791542443,2025-05-30T13:07:45Z
IRIDIUM 5,24795,1.5077585248713654,1.6032350162724631,0.0107956,3.496175489754213,2.7816342033292307,0.06519791975510272,2025-05-30T13:31:01Z
IRIDIUM 4,24796,1.5079382937843209,3.1618751248272194,0.0002225,1.6348499103430885,4.650869614910393,0.06269358376876297,2025-05-30T14:40:08Z
DELTA 2 R/B,24797,1.5166213068129926,0.14827968259093424,0.0215546,5.992654309234106,1.3134492739175847,0.06315000063266181,2025-05-30T14:38:04Z
IRIDIUM 29,24944,1.507894660553021,2.640835001912344,0.0002241,1.4831249478087174,4.802596322774017,0.0626770850840774,2025-05-30T12:21:35Z
IRIDIUM 33,24946,1.5077463075666016,2.6281691475306213,0.0009545,2.2062166022392202,4.080593753796759,0.06260854630978421,2025-05-30T11:27:32Z
IRIDIUM 28,24948,1.5078998965407768,2.597781219924148,0.0002616,1.7115745842607593,4.574219990150559,0.06271727726785727,2025-05-30T12:00:06Z
IRIDIUM 33 DEB,33773,1.5079854176741248,2.5078374222518725,0.0013596,1.4696387886785571,4.818346173944014,0.06295174558496834,2025-05-30T12:49:15Z
IRIDIUM 33 DEB,33775,1.5073204472291148,2.326305726751942,0.0016081,1.584881133858491,0.5893837257644691,0.06286854063443771,2025-05-30T12:02:03Z
IRIDIUM 33 DEB,33776,1.5080674481489684,2.8468711201102748,0.0016577,2.0546609366422923,6.231527051979059,0.06273795461983796,2025-05-30T12:24:23Z
IRIDIUM 33 DEB,33777,1.507582246616914,2.102858203936116,0.0005597,3.2406889578595273,3.0444930059843407,0.06343272721632406,2025-05-30T08:22:46Z
IRIDIUM 33 DEB,33850,1.5069137855134,1.9992013543309208,0.0013933,1.6256415532095663,0.560177386061596,0.0628962383551684,2025-05-30T10:48:50Z
IRIDIUM 33 DEB,33853,1.5009482501300837,1.3236070901641919,0.0214705,2.050240017646991,0.21258459355141332,0.06100082422653779,2025-05-30T07:22:17Z
IRIDIUM 33 DEB,33859,1.5061563126180346,1.6396513111153248,0.0019899,6.251264980489863,0.03393618197577774,0.06536853572512837,2025-05-30T13:08:50Z
IRIDIUM 33 DEB,33860,1.5076660224210099,1.9872231596744836,0.0006589,5.414500031876969,3.064080836179473,0.06388136479868091,2025-05-30T10:02:44Z
IRIDIUM 33 DEB,33862,1.508116317368024,2.1620545361760075,0.0054038,0.4548048778016904,1.6101482654396126,0.0639997924570122,2025-05-30T09:10:54Z
IRIDIUM 33 DEB,33866,1.5062575417146502,3.070191233890705,0.0114414,1.2553490084479453,0.8773298910877456,0.06214653758549491,2025-05-30T13:43:01Z
IRIDIUM 33 DEB,33867,1.507573519970654,1.4849034383164996,0.0019275,0.7628991240099894,5.5250963105880935,0.06564755736748773,2025-05-30T05:59:59Z
IRIDIUM 33 DEB,33870,1.507533377397858,2.483326018236864,0.0023562,1.9565629607046993,0.12223413416342287,0.06303433255804408,2025-05-30T11:14:03Z
IRIDIUM 33 DEB,33874,1.504822881069511,1.6114014118425446,0.0013921,1.681500815919645,0.48216989514370945,0.06653240661695861,2025-05-30T08:48:59Z
IRIDIUM 33 DEB,33881,1.507856263309477,3.344515104402166,0.006371,1.9490597902503757,0.3471669321726961,0.06341856845093341,2025-05-30T14:25:58Z
IRIDIUM 33 DEB,33884,1.5073256832168709,1.7122063934499812,0.0008092,4.914461455851341,4.457040329500911,0.06428513960891309,2025-05-30T15:15:29Z
IRIDIUM 33 DEB,33886,1.5076799850550258,2.61437581045211,0.0014698,2.788531744533112,5.497108210703112,0.062647942405259,2025-05-30T12:14:38Z
IRIDIUM 33 DEB,33887,1.5062767403364221,1.5342438962703793,0.0007205,2.532802611872399,0.5921256380193521,0.06270095350879598,2025-05-30T13:25:27Z
IRIDIUM 33 DEB,33953,1.5077305996033334,2.422049253528595,0.0019709,0.7948648292602656,1.8746302242990776,0.06340456384174896,2025-05-30T10:46:10Z
IRIDIUM 33 DEB,33960,1.5055349754043246,0.3712978544107697,0.0004763,0.9160657285065078,2.1701336652834895,0.06449023154761893,2025-05-30T09:57:17Z
IRIDIUM 33 DEB,33966,1.5078178660659332,2.271891596662515,0.0009415,2.233607799520019,6.217423046293692,0.06320686123439698,2025-05-30T12:08:58Z
